fecha,regimen_aduanero,refrendo,item,ruc_importador,probable_importador,pais_de_origen,pais_de_procedencia,ciudad_embarque,via_de_transporte,aduana,partida_arancelaria,descripcion_arancelaria,descripcion_producto_comercial,marca,estado_de_mercancia,cantidad,unidad_de_medida,advalorem,us$_fob,us$_flete,us$_seguro,us$_cif,embarcador,empresa_de_transporte,pais_de_embarque,agente_de_aduana,nave,conocimiento_de_embarque,peso_neto_kg,tipo_aforo,dirección_consignatario,caracteristicas,producto,marca_comercial,año_fabricación,modelo_mercaderia,us$_fob_unit,código_tnan,contenedor,conocimiento_embarque,agencia_de_carga,país_de_origen,descripción_arancelaria,país_de_embarque
2018-01-26,importacion_a_consumo,028-2018-10-00061381,3,791774330001,acuicultura_ber_aqua_aquiber_s_a,brazil,brazil,navegantes,maritimo,guayaquil_maritimo,8414809000,los_demás,aireador_aquamix,beraqua,nuevo,35.0,numero_de_unidades,0.0,13640.55,1456.79,147.87,15245.21,bernauer_aquacultura_ltda,maersk_del_ecuador_c.a.,brazil,01900785-brando_alvarado_gustavo_eloy,safmarine_benguela,,1256.5,aforo-aforo_documental,junin_y_marcel_laniado_n_439,1.5_hp_monofasico_220_440v_4p_60hz,aireador,beraqua,0.0,b-601,389.73,0,1.0,dc01nvt18519,munditransport_s.a.,,,
2018-01-26,importacion_a_consumo,028-2018-10-00060633,1,791724260001,crustaceos_&_peces_de_sud_america_s_a_crupesa,china,china,shanghai,maritimo,guayaquil_maritimo,8479899090,los_demás,aireador_de_4_paletas,nanrong,nuevo,122.0,numero_de_unidades,6141.81,38430.0,2110.0,405.4,40945.4,nanrong_shanghai_co._ltd.,greenandes_ecuador_s.a.,china,01900009-cornejo_&_iglesias_asociados_s.a.,wan_hai_511,,12200.0,aforo-aforo_fisico_intrusivo,25_de_junio_106_y_esmeraldas,aireador_de_4_paletas_nanrong_nr-sc114_(220v-440v/60hz/3ph),aireador_de_4_paletas,nanrong,2017.0,nr-sc114,315.0,0,0.0,assha711944,farletza_s.a.,,,
2018-01-26,importacion_a_consumo,028-2018-10-00060644,1,791724260001,crustaceos_&_peces_de_sud_america_s_a_crupesa,china,china,shanghai,maritimo,guayaquil_maritimo,8479899090,los_demás,aireador_de_6_paletas,nanrong,nuevo,88.0,numero_de_unidades,6719.03,42240.0,2110.0,443.5,44793.5,nan_rong_shanghai_co._ltd.,greenandes_ecuador_s.a.,china,01900009-cornejo_&_iglesias_asociados_s.a.,wan_hai_511,,11000.0,aforo-aforo_documental,25_de_junio_106_y_esmeraldas,aireador_de_6_paletas_nanrong_nr-sc116_(220v-440v/60hz/3ph),aireador_de_6_paletas,nanrong,2017.0,nr-sc116,480.0,0,0.0,assha711943,farletza_s.a.,,,
2018-01-26,importacion_a_consumo,028-2018-10-00059689,80,1792826640001,sociedad_de_hecho_simexpo,china,china,ningbo,maritimo,guayaquil_maritimo,8479899090,los_demás,aireador_para_piscinas_de_camarones,buluna_international_trading_co_limited,nuevo,1.0,numero_de_unidades,43.0,267.76,16.09,2.84,286.69,"buluna_international_trading_co.,_limited",agencia_del_pacifico_delpac_s.a.,china,01000013-consorcio_malo_&_arizaga_cia._ltda.,wan_hai_516,,0.14,aforo-aforo_fisico_intrusivo,luis_larenas_e16-250_s1g_las_orquideas_quito-ecuador,aireador_para_piscinas_de_camarones,aireador_para_piscinas_de_camarones,buluna_international_trading_co_limited,0.0,ai,267.76,0,1.0,cosu6176306100,carga_directa,,,
2018-01-26,importacion_a_consumo,028-2018-10-00061381,2,791774330001,acuicultura_ber_aqua_aquiber_s_a,brazil,brazil,navegantes,maritimo,guayaquil_maritimo,8414809000,los_demás,aireador_aquamix,beraqua,nuevo,35.0,numero_de_unidades,0.0,8871.8,947.5,96.18,9915.48,bernauer_aquacultura_ltda,maersk_del_ecuador_c.a.,brazil,01900785-brando_alvarado_gustavo_eloy,safmarine_benguela,,925.75,aforo-aforo_documental,junin_y_marcel_laniado_n_439,1.5_hp_trifasico_220_380_440v_4p_60hz,aireador,beraqua,0.0,b-603,253.48,0,1.0,dc01nvt18519,munditransport_s.a.,,,
2018-01-29,importacion_a_consumo,028-2018-10-00064470,1,993056707001,delicamaronera_s.a,brazil,brazil,navegantes,maritimo,guayaquil_maritimo,8479899090,desconocido,aireador_aquapa,beraqua,nuevo,200.0,numero_de_unidades,33994.8,219528.0,7104.02,0.0,226632.02,bernauer_aquacultura_ltda,maersk_del_ecuador_c.a.,brazil,01902441-torres_&_torres_agentes_de_aduanas_ttadad_c.a.,safmarine_benguela,,17513.2,aforo-aforo_fisico_intrusivo,km_1.5_via_paraiso_de_chobo_milagro_ecuador,aireador_aquapa_b-209_2hp_trifasico_220/_380/_440/_760_v_4p,producto_terminado,beraqua,0.0,b-209,1097.64,0,3.0,dc01nvt18522,munditransport_s.a.,,,
2018-01-29,importacion_a_consumo,028-2018-10-00063453,17,992244887001,proveedora_de_maquinaria_varzut_s.a._provamaq,china,china,shanghai,maritimo,guayaquil_maritimo,8479899090,los_demás,aireadores_con_accesorios,generico,nuevo,15.0,numero_de_unidades,1930.55,12750.0,66.39,53.98,12870.37,hong_kong_rainbow_investment,transoceanica_compañia_limitada,china,01900550-aviles_villon_carlos_manuel,cautin,,710.0,aforo-aforo_documental,to_order,aireadores_con_accesorios,aireadores_con_accesorios,generico,2017.0,generico,850.0,0,1.0,nykssh7aj6134300,carga_directa,,,
2018-01-29,importacion_a_consumo,028-2018-10-00064929,1,700792070001,barrezueta_palacios_angel_damian,china,china,shanghai,maritimo,guayaquil_maritimo,8414809000,los_demás,aireadores_electricos,generico,nuevo,120.0,numero_de_unidades,2227.05,43255.73,844.27,441.0,44541.0,nanrong_(shanghai)_co._ltd.,naviera_del_sur_s.a._navisur,china,01777779-jimenez_quiroz_boris_lenin,corcovado,,10681.58,aforo-aforo_automatico_no_intrusivo,villa_10,producto,producto,generico,2018.0,generico,360.46,0,1.0,hdmuqsec7311086,carga_directa,,,
2018-01-30,importacion_a_consumo,028-2018-10-00073668,1,990792658001,importadora_lino_gamboa_cia._ltda._ilga,china,china,ningbo,maritimo,guayaquil_maritimo,8414809000,los_demás,aireadores_electricos,generico,nuevo,170.0,numero_de_unidades,6001.12,115605.1,4130.0,287.36,120022.46,zhejiang_fordy_imp___exp_co_ltd,desconocido,china,01777782-garcia_&_garcia_agentes_de_aduana_ggaa_cia._ltda.,ym_excellence,,29512.0,aforo-aforo_automatico,cdla_adace_calle_b_415_y_calle_novena_esq,440v_60hz_3phs_5hp,aireadores_electricos,generico,0.0,generico,680.03,0,3.0,628nbh1712058,munditransport_s.a.,,,
2018-02-05,importacion_a_consumo,028-2018-10-00085978,1,791724260001,crustaceos_&_peces_de_sud_america_s_a_crupesa,china,china,shanghai,maritimo,guayaquil_maritimo,8479899090,los_demás,aireador_de_8_paletas_nanrong_nr-sc118,nanrong,nuevo,70.0,numero_de_unidades,6053.94,38500.0,1460.0,399.6,40359.6,nanrong_shanghai_co._ltd.,greenandes_ecuador_s.a.,china,01900009-cornejo_&_iglesias_asociados_s.a.,kota_layang,,9940.0,aforo-aforo_documental,25_de_junio_106_y_esmeraldas,aireador_de_8_paletas_nanrong_nr-sc118_(220v-440v/60hz/3ph),aireador_de_8_paletas,nanrong,2017.0,nr-sc118,550.0,0,0.0,assha712674,farletza_s.a.,,,
